4700 SUMMER PLACE PKWY BLDG 4	HOOVER	35244	LORNA RD	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	1. ROCKY RIDGE FD | 2. NORTH SHELBY FD | 3. HELENA FD | 4. BESSEMER FD | 5. BIRMINGHAM FD | 6. HOMEWOOD FD | 7. INDIAN FORD FD | 8. REX LAKE FD
4700 SYLVANER LN	UNINCORPORATED	35244	BURGUNDY DR / WINE RIDGE DR	NORTH SHELBY FD (SHELBY COUNTY)	NORTH_SHELBY_FD	467	1. ROCKY RIDGE FD | 2. HOOVER FD
4700 TERRACE Q	BIRMINGHAM	35208	47TH ST / 48TH ST & 48TH ST W	BIRMINGHAM FD	2405	469	1. FAIRFIELD FD | 2. MIDFIELD FD
4700 TERRACE S	BIRMINGHAM	35208	47TH ST / PUBLIC ALY	BIRMINGHAM FD	2401	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
4700 VINES AVE	BRIGHTON	35020	47TH ST & PUBLIC ALY / PUBLIC ALY	BRIGHTON FD	BRIGHTON_FD	490	1. MIDFIELD FD | 2. BESSEMER FD | 3. BIRMINGHAM FD
4700 VINTAGE LN	UNINCORPORATED	35244	CHABLIS WAY / WINE RIDGE DR	NORTH SHELBY FD (SHELBY COUNTY)	NORTH_SHELBY_FD	467	1. ROCKY RIDGE FD | 2. HOOVER FD
4700 WIL OLVEY DR	LIPSCOMB	35020	7TH ST S / PUBLIC ALY	LIPSCOMB FD	LIPSCOMB_FD	490	1. BIRMINGHAM FD | 2. BESSEMER FD
4701 12TH AVE N	BIRMINGHAM	35212	47TH ST N / 46TH PL N	BIRMINGHAM FD	0802	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
4701 13TH AVE N	BIRMINGHAM	35212	47TH ST N / 46TH PL N	BIRMINGHAM FD	0802	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
4701 14TH AVE N	BIRMINGHAM	35212	47TH ST N / 46TH WAY N	BIRMINGHAM FD	0802	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
4701 15TH STREET RD	HUEYTOWN	35023	VIRGINIA DR / RYAN RD	HUEYTOWN FD	HUEYTOWN_FD	489	1. CONCORD FD | 2. BESSEMER FD | 3. PLEASANT GROVE FD | 4. BIRMINGHAM FD | 5. ADGER FD
4701 2ND AVE S	BIRMINGHAM	35222	47TH ST S / 48TH ST S	BIRMINGHAM FD	1003	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
4701 33RD ST N	BIRMINGHAM	35207	32ND ST N & 48TH AVE N & PUBLIC ALY / 47TH ST N & PUBLIC ALY	BIRMINGHAM FD	1303	435	1. FULTONDALE FD | 2. NORTH SMITHFIELD DEPARTMENT FD
4701 34TH ST N	BIRMINGHAM	35207	47TH AVE N & 47TH ST N / 48TH AVE N	BIRMINGHAM FD	1303	435	1. FULTONDALE FD | 2. NORTH SMITHFIELD DEPARTMENT FD
4701 3RD AVE S	BIRMINGHAM	35222	47TH ST S / 48TH ST S	BIRMINGHAM FD	1003	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
4701 40TH PL N	BIRMINGHAM	35217	HALE ST / 49TH CT N	BIRMINGHAM FD	2302	441	1. TARRANT FD
4701 41ST ST N	BIRMINGHAM	35217	HALE ST N / PUBLIC ALY	BIRMINGHAM FD	2302	441	1. TARRANT FD
4701 44TH ST N	BIRMINGHAM	35217	ATLANTA AVE / 49TH AVE N	BIRMINGHAM FD	2304	441	1. TARRANT FD
4701 5TH AVE S	BIRMINGHAM	35222	47TH ST S / CRESTWOOD BLVD	BIRMINGHAM FD	1007	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
