2309 HUNTERS CV	VESTAVIA HILLS	35216	ANGLEWOOD DR / BRANCHWATER LN	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. MOUNTAIN BROOK FD | 3. HOOVER FD | 4. HOMEWOOD FD | 5. BIRMINGHAM FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 HUNTINGTON RIDGE RD	HOMEWOOD	35226	FOREST BROOK DR	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. HOOVER FD | 3. ROCKY RIDGE FD | 4. MOUNTAIN BROOK FD
2309 HUNTSVILLE RD	BIRMINGHAM	35234	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	0905	435	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
2309 ISHKOODA RD	BIRMINGHAM	35211	ISHKOODA WENONAH RD & WHITMORE DR / ISHKOODA WENONAH RD & NEW HILL AVE	BIRMINGHAM FD	2501	469	1. MIDFIELD FD
2309 J TERRELL WOOTEN DR	BESSEMER	35020	WOODWARD RD / GRIFFIN DR	BESSEMER FD	BESSEMER_FD	VERIFY - NO BEAT MATCH	1. HUEYTOWN FD | 2. BRIGHTON FD | 3. BIRMINGHAM FD | 4. LIPSCOMB FD | 5. EASTERN VALLEY FD | 6. HOOVER FD | 7. MCCALLA FD | 8. MCADORY FD | 9. INDIAN FORD FD
2309 LAKESIDE DR	UNINCORPORATED	35111	PUBLIC ALY / WATERVIEW CIR	MCCALLA FD	MCCALLA_FD_1	489	1. BESSEMER FD | 2. LAKEVIEW FD | 3. MCADORY FD
2309 LANE CIR	MOUNTIAN BROOK	35223	PUBLIC ALY / CAHABA RD S	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD | 5. IRONDALE FD
2309 LANE PARK RD	BIRMINGHAM	35223	SOMERSET CIR / COUNTRY CLUB CIR	BIRMINGHAM FD	0306	465	1. MOUNTAIN BROOK FD | 2. HOMEWOOD FD
2309 LAUREL LN	HOOVER	35216	LAUREL VIEW LN / TETON RD	HOOVER FD	HOOVER_FD	467	1. ROCKY RIDGE FD | 2. NORTH SHELBY FD | 3. BIRMINGHAM FD | 4. HOMEWOOD FD | 5. REX LAKE FD | 6. BESSEMER FD | 7. HELENA FD | 8. INDIAN FORD FD
2309 LESTER LN	HOOVER	35226	CLEARVIEW RD / MEADOWLARK DR	HOOVER FD	HOOVER_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 LOCH LOMOND LN	UNINCORPORATED	35235	PENTLAND DR	CENTER POINT FD/TRUSSVILLE  FD (AUTOMATIC AID - STRUCTURE FIRES ONLY)	CPFD7_AA	447	1. BIRMINGHAM FD
2309 LOCKE LN	HOOVER	35226	CAMBO DR & LOCKE CIR / FARLEY WAY	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. ROCKY RIDGE FD | 3. BIRMINGHAM FD | 4. HOMEWOOD FD | 5. HELENA FD | 6. NORTH SHELBY FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 LONGLEAF WAY	VESTAVIA HILLS	35243	LONGLEAF ST	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. HOOVER FD | 3. BIRMINGHAM FD | 4. MOUNTAIN BROOK FD | 5. HOMEWOOD FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 MANASSAS DR	IRONDALE	35213	VERIFY - CROSS STREETS UNAVAILABLE	IRONDALE FD	IRONDALE_FD	465	1. MOUNTAIN BROOK FD | 2. BIRMINGHAM FD | 3. REX LAKE FD | 4. TRUSSVILLE FD
2309 MCEL AVE	FULTONDALE	35068	LEONARD RD	FULT ST	FULT_ST2	417	1. FULTONDALE FD | 2. BIRMINGHAM FD | 3. GARDENDALE FD
2309 MEADOWLARK DR	HOOVER	35226	CLEARVIEW RD / LESTER LN	HOOVER FD	HOOVER_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 MISTY RIDGE CIR	HOOVER	35226	GARY MAC DR / MISTY RIDGE DR	HOOVER FD	HOOVER_FD	469	1. ROCKY RIDGE FD | 2. BIRMINGHAM FD | 3. HOMEWOOD FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 MORGAN RD	BESSEMER	35022	CONE DR SE / CUMBERLAND DR SE	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. MCADORY FD | 3. INDIAN FORD FD | 4. HOOVER FD | 5. BIRMINGHAM FD | 6. MCCALLA FD | 7. LIPSCOMB FD | 8. HUEYTOWN FD | 9. BRIGHTON FD
2309 MORRIS AVE	BIRMINGHAM	35203	23RD ST N / 24TH ST N	BIRMINGHAM FD	0201	VERIFY - NO BEAT MATCH	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
2309 MOUNTAIN OAKS LN	HOOVER	35226	MOUNTAIN OAKS DR / CABLE DR	HOOVER FD	HOOVER_FD	469	1. ROCKY RIDGE FD | 2. HOMEWOOD FD | 3. BIRMINGHAM FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 NORTH VILLAGE LN	GARDENDALE	35071	VERIFY - CROSS STREETS UNAVAILABLE	GARDENDALE FD	GARDENDALE_FD	421	1. MOUNT OLIVE FD | 2. GLENNWOOD FD | 3. BROOKSIDE FD | 4. MORRIS FD | 5. FULTONDALE FD | 6. FORESTDALE FD
2309 OMAHA DR	UNINCORPORATED	35217	OTTAWA DR / OSAGE DR	CENTER POINT FD	CPFD_10	435	1. BIRMINGHAM FD | 2. FULTONDALE FD | 3. TARRANT FD | 4. GARDENDALE FD
2309 OVERLOOK CRST	VESTAVIA HILLS	35226	SHADES CREST RD	VESTAVIA FD	VESTAVIA_FD	469	1. HOOVER FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BIRMINGHAM FD | 5. MOUNTAIN BROOK FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 PEARSON AVE SW	BIRMINGHAM	35211	23RD PL SW / 23RD ST SW	BIRMINGHAM FD	1501	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
2309 PINE CREST DR	VESTAVIA HILLS	35216	OLD CREEK TRL / PINE CREST LN	VESTAVIA FD	VESTAVIA_FD	469	1. HOMEWOOD FD | 2. ROCKY RIDGE FD | 3. HOOVER FD | 4. BIRMINGHAM FD | 5. MOUNTAIN BROOK FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 PONDEROSA CIR	VESTAVIA HILLS	35216	ANGLEWOOD DR	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. MOUNTAIN BROOK FD | 3. HOOVER FD | 4. HOMEWOOD FD | 5. BIRMINGHAM FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 QUEENSVIEW RD	HOOVER	35226	REGENT LN / HACKBERRY LN	HOOVER FD	HOOVER_FD	469	1. ROCKY RIDGE FD | 2. HOMEWOOD FD | 3. BIRMINGHAM FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. REX LAKE FD | 7. HELENA FD | 8. INDIAN FORD FD
2309 REED RD	UNINCORPORATED	35215	CHERRY LN / WINDOVER PL	CENTER POINT FD	CPFD_2	439	1. BIRMINGHAM FD
2309 REGENT LN	HOOVER	35226	QUEENSVIEW RD / REGENT DR	HOOVER FD	HOOVER_FD	469	1. ROCKY RIDGE FD | 2. HOMEWOOD FD | 3. BIRMINGHAM FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. REX LAKE FD | 7. HELENA FD | 8. INDIAN FORD FD
2309 RICHLAMD DR	UNINCORPORATED	35243	VERIFY - CROSS STREETS UNAVAILABLE	ROCKY RIDGE FD (STATION 1)	RRST1_B	VERIFY - NO BEAT MATCH	1. HOOVER FD | 2. BIRMINGHAM FD
2309 RIVER BROOK PL	HOOVER	35242	RIVER BROOK LN	HOOVER FD	HOOVER_FD	467	1. ROCKY RIDGE FD | 2. BIRMINGHAM FD | 3. REX LAKE FD | 4. NORTH SHELBY FD | 5. HOMEWOOD FD | 6. BESSEMER FD | 7. HELENA FD | 8. INDIAN FORD FD
2309 RIVER GRAND DR	VESTAVIA HILLS	35243	CAHABA RIVER RD / RIVER GRAND CIR	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. BIRMINGHAM FD | 3. HOOVER FD | 4. MOUNTAIN BROOK FD | 5. REX LAKE FD | 6. HOMEWOOD FD | 7. IRONDALE FD
2309 ROCKVIEW LN	HOOVER	35226	MAIDEN LN / CLOUDLAND DR	HOOVER FD	HOOVER_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 ROYAL KNOLL LN	HOOVER	35226	HACKBERRY LN / REGENT DR	HOOVER FD	HOOVER_FD	469	1. ROCKY RIDGE FD | 2. HOMEWOOD FD | 3. BIRMINGHAM FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. REX LAKE FD | 7. HELENA FD | 8. INDIAN FORD FD
2309 SAND COVE CIR	VESTAVIA HILLS	35216	BRANCHWATER LN	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. MOUNTAIN BROOK FD | 3. HOMEWOOD FD | 4. HOOVER FD | 5. BIRMINGHAM FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 SAVOY ST	HOOVER	35226	MAIDEN LN / OLD BRIAR TRL	HOOVER FD	HOOVER_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 SOUTHAMPTON DR	HOOVER	35226	PAPER RD / NEWTOWN LN	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. BIRMINGHAM FD | 3. ROCKY RIDGE FD | 4. INDIAN FORD FD | 5. HOMEWOOD FD | 6. HELENA FD | 7. NORTH SHELBY FD | 8. REX LAKE FD
2309 STONEWOOD DR	UNINCORPORATED	35215	APPLEWOOD DR	CENTER POINT FD	CPFD_2	439	1. BIRMINGHAM FD
2309 TANGLEWOOD BROOK LN	VESTAVIA HILLS	35243	KINGSWAY LN / ROCKY RIDGE RD	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. MOUNTAIN BROOK FD | 3. HOOVER FD | 4. BIRMINGHAM FD | 5. HOMEWOOD FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 TIMBER RIDGE CIR	VESTAVIA HILLS	35243	TIMBER RIDGE DR / RUSSET HILL CIR	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. HOOVER FD | 3. MOUNTAIN BROOK FD | 4. BIRMINGHAM FD | 5. HOMEWOOD FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 TREE CROSSING PKWY	HOOVER	35244	JOHN HAWKINS PKWY / JOHN HAWKINS PKWY & TRACE CROSSINGS DR	HOOVER FD	HOOVER_FD	487	1. ROCKY RIDGE FD | 2. BESSEMER FD | 3. HELENA FD | 4. INDIAN FORD FD | 5. BIRMINGHAM FD | 6. NORTH SHELBY FD | 7. HOMEWOOD FD | 8. REX LAKE FD
2309 VESTBROOK DR	VESTAVIA HILLS	35243	VESTBROOK CIR / CAHABA RIVER RD	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. BIRMINGHAM FD | 3. MOUNTAIN BROOK FD | 4. HOOVER FD | 5. REX LAKE FD | 6. HOMEWOOD FD | 7. IRONDALE FD
2309 WARRIOR TRAFFORD RD	TRAFFORD	35172	GLASGOW KILGORE DR / OLD WARRIOR TRAFFORD RD	WARRIOR FD	WARRIOR_FD	437	1. KIMBERLY FD | 2. CANE CREEK FD | 3. CORNER FD
2309 WEXFORD LN	VESTAVIA HILLS	35216	TYROL RD / WAGON GAP TRL	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. HOOVER FD | 3. HOMEWOOD FD | 4. BIRMINGHAM FD | 5. MOUNTAIN BROOK FD | 6. REX LAKE FD | 7. IRONDALE FD
2309 WHARTON AVE	FULTONDALE	35068	1ST ST / PUBLIC ALY	FULT ST	FULT_ST1	421	1. FULTONDALE FD | 2. GARDENDALE FD | 3. TARRANT FD | 4. BIRMINGHAM FD | 5. GLENNWOOD FD
2309 WILDRIDGE CIR	UNINCORPORATED	35209	VERIFY - CROSS STREETS UNAVAILABLE		E101_R111	469	1. ROCKY RIDGE FD | 2. HOMEWOOD FD | 3. MOUNTAIN BROOK FD | 4. BIRMINGHAM FD | 5. HOOVER FD | 6. NORTH SHELBY FD
2309 WILDWOOD XING	BIRMINGHAM	35211	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	0401	469	1. HOMEWOOD FD | 2. HOOVER FD
2309 WISTERIA PL	HOOVER	35216	PANORAMA TER	HOOVER FD/ROCKY RIDGE FD (STATION 2-AUTOMATIC AID)	HOOVER_RRFD_2	467	1. NORTH SHELBY FD
2309 WOOD ST	IRONDALE	35173	FAIN ST / PUBLIC ALY	IRONDALE FD	IRONDALE_FD	447	1. BIRMINGHAM FD | 2. TRUSSVILLE FD | 3. REX LAKE FD | 4. MOUNTAIN BROOK FD
2309 WOODCREEK DR	HOOVER	35226	SHENANDOAH DR / REDSTART LN	HOOVER FD	HOOVER_FD	487	1. BIRMINGHAM FD | 2. BESSEMER FD | 3. ROCKY RIDGE FD | 4. HOMEWOOD FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
2309 WOODHIGHLANDS DR	HOOVER	35244	WOODS TRCE / SOUTHWOOD TRCE	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. INDIAN FORD FD | 3. HELENA FD | 4. BIRMINGHAM FD | 5. ROCKY RIDGE FD | 6. HOMEWOOD FD | 7. NORTH SHELBY FD | 8. REX LAKE FD
231 10TH AVE N	BIRMINGHAM	35204	3RD ST N / 2ND ST N	BIRMINGHAM FD	1411	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 15TH CT N	BIRMINGHAM	35204	3RD ST N / 2ND ST N	BIRMINGHAM FD	0608	417	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 15TH ST N	BESSEMER	35020	PUBLIC ALY / 3RD AVE N	BESSEMER FD	BESSEMER_FD	490	1. EASTERN VALLEY FD | 2. BIRMINGHAM FD | 3. HUEYTOWN FD | 4. BRIGHTON FD | 5. LIPSCOMB FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
231 16TH CT N	BIRMINGHAM	35204	17TH AVE N & 3RD ST N / 2ND ST N	BIRMINGHAM FD	0608	417	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 22ND ST S	BIRMINGHAM	35233	PUBLIC ALY / 3RD AVE S	BIRMINGHAM FD	0201	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 24TH ST S	BESSEMER	35020	PUBLIC ALY / CLARENDON AVE	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. LIPSCOMB FD | 3. BRIGHTON FD | 4. EASTERN VALLEY FD | 5. HUEYTOWN FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
231 26TH ST S	BESSEMER	35020	CLARENDON AVE / CAROLINA TER	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. LIPSCOMB FD | 3. BRIGHTON FD | 4. HUEYTOWN FD | 5. EASTERN VALLEY FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
231 2ND AVE E	BESSEMER	35020	ROGERS ST / MAIN ST	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. BIRMINGHAM FD | 3. HUEYTOWN FD | 4. MCADORY FD | 5. LIPSCOMB FD | 6. HOOVER FD | 7. BRIGHTON FD | 8. MCCALLA FD | 9. INDIAN FORD FD
231 2ND AVE N	BESSEMER	35020	3RD ST N / 2ND ST N	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. HUEYTOWN FD | 3. BIRMINGHAM FD | 4. MCADORY FD | 5. BRIGHTON FD | 6. MCCALLA FD | 7. LIPSCOMB FD | 8. HOOVER FD | 9. INDIAN FORD FD
231 2ND ST	BIRMINGHAM	35214	OHIO AVE / PENNSYLVANIA AVE	BIRMINGHAM FD	1801	VERIFY - NO BEAT MATCH	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
231 32ND ST S	BESSEMER	35020	CLARENDON AVE / 32ND ST & PATTON CT	BESSEMER FD	BESSEMER_FD	490	1. LIPSCOMB FD | 2. BIRMINGHAM FD | 3. BRIGHTON FD | 4. HUEYTOWN FD | 5. HOOVER FD | 6. EASTERN VALLEY FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
231 3RD AVE	MIDFIELD	35228	EAST WAY & PUBLIC ALY & ROBERSON RD / PARK AVE	MIDFIELD FD	MIDFIELD_FD	490	1. FAIRFIELD FD | 2. BRIGHTON FD | 3. BIRMINGHAM FD
231 47TH PL N	BIRMINGHAM	35212	PUBLIC ALY / 8TH AVE N & MESSER AIRPORT HWY	BIRMINGHAM FD	1211	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
