921 ROCKINGHAM RD	BIRMINGHAM	35235	BARDSWOOD TER / MARTINWOOD LN	BIRMINGHAM FD	2703	447	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
921 RUTLEDGE DR	MIDFIELD	35228	PUBLIC ALY / 10TH ST	MIDFIELD FD	MIDFIELD_FD	490	1. FAIRFIELD FD | 2. BIRMINGHAM FD | 3. BRIGHTON FD
921 SALEM ST	UNINCORPORATED	35224	PUBLIC ALY / JAVA AVE	MINOR FD	MINOR_FD_1	VERIFY - NO BEAT MATCH	1. BIRMINGHAM FD | 2. ADAMSVILLE FD | 3. PLEASANT GROVE FD | 4. MULGA FD | 5. MAYTOWN FD
921 SHADES CREST RD	HOOVER	35226	PUBLIC ALY / MIMOSA LN	HOOVER FD	HOOVER_FD	469	1. HOMEWOOD FD | 2. BIRMINGHAM FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
921 SHADES GLEN DR	HOMEWOOD	35226	SHADES GLEN CIR / HILLBROOK DR	HOMEWOOD FD	HOMEWOOD_FD	469	1. HOOVER FD | 2. BIRMINGHAM FD | 3. ROCKY RIDGE FD | 4. MOUNTAIN BROOK FD
921 SHADY BROOK CIR	HOOVER	35226	SHADYBROOK LN	HOOVER FD	HOOVER_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
921 SHADYVIEW LN	ADAMSVILLE	35005	SHADYVIEW CIR / CRESTVIEW DR	ADAMSVILLE FD	ADAMSVILLE_FD	415	1. SHADY GROVE FD | 2. GRAYSVILLE FD | 3. WEST JEFFERSON FD | 4. MAYTOWN FD | 5. FORESTDALE FD | 6. MULGA FD | 7. MINOR FD | 8. BROOKSIDE FD | 9. BIRMINGHAM FD
921 SHAMROCK LN	FULTONDALE	35068	STONEFIELD DR / WOODBURY DR	FULT ST	FULT_ST1	435	1. FULTONDALE FD | 2. GARDENDALE FD | 3. TARRANT FD | 4. BIRMINGHAM FD | 5. GLENNWOOD FD
921 SHARPSBURG CIR	IRONDALE	35213	VICKSBURG DR / SHARPSBURG LN	IRONDALE FD	IRONDALE_FD	465	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. REX LAKE FD | 4. TRUSSVILLE FD
921 SKELTON AVE	GARDENDALE	35071	DEAN DR & HOLLY DR / JOHNSON ST & MARION DR	GARDENDALE FD	GARDENDALE_FD	435	1. FULTONDALE FD | 2. MOUNT OLIVE FD | 3. GLENNWOOD FD | 4. FORESTDALE FD | 5. BROOKSIDE FD | 6. MORRIS FD
921 SPRINGS AVE	BIRMINGHAM	35242	VERIFY - CROSS STREETS UNAVAILABLE	ROCKY RIDGE FD/BIRMINGHAM FD (AUTOMATIC AID)	MUTUAL_RESP_RRFD_BFD	VERIFY - NO BEAT MATCH	1. HOOVER FD | 2. REX LAKE FD | 3. MOUNTAIN BROOK FD | 4. IRONDALE FD
921 STARK ST	BIRMINGHAM	35235	SHARP DR / GARRETT DR	BIRMINGHAM FD	3006	447	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
921 STONECREST CT	VESTAVIA HILLS	35242	VERIFY - CROSS STREETS UNAVAILABLE	VESTAVIA FD	VESTAVIA_FD	465	1. BIRMINGHAM FD | 2. REX LAKE FD | 3. IRONDALE FD | 4. HOOVER FD | 5. MOUNTAIN BROOK FD | 6. ROCKY RIDGE FD | 7. HOMEWOOD FD
921 SUN VALLEY RD	CENTER POINT	35215	9TH PL NW / 9TH ST NW	CENTER POINT FD	CPFD_1	441	1. BIRMINGHAM FD
921 SUNSET DR	BIRMINGHAM	35215	MEADOWBROOK DR / EAST BLVD	BIRMINGHAM FD	2702	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
921 TAMMY ANNE DR	BIRMINGHAM	35235	VAUGHN CT / TAMMY ANNE CIR	BIRMINGHAM FD	3004	447	1. TRUSSVILLE FD
921 THOMAS DR	BIRMINGHAM	35215	MOSELEY LN / GRANDVIEW CIR	BIRMINGHAM FD	2802	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
921 THOMASON AVE	TARRANT	35217	SLOAN AVE / MCDONALD ST	TARRANT FD	TARRANT_FD	435	1. BIRMINGHAM FD | 2. FULTONDALE FD
