6595 WHITE OAK LN	HUEYTOWN	35023	WESTWIND DR / HEMLOCK DR	HUEYTOWN FD	HUEYTOWN_FD	489	1. CONCORD FD | 2. ADGER FD | 3. BESSEMER FD | 4. PLEASANT GROVE FD | 5. BIRMINGHAM FD
6596 ALABAMA ST	IRONDALE	35173	GRADY ST & PUBLIC ALY / DIVISION ST	IRONDALE FD	IRONDALE_FD	447	1. BIRMINGHAM FD | 2. TRUSSVILLE FD | 3. REX LAKE FD | 4. MOUNTAIN BROOK FD
6596 LYNN AVE	LEEDS	35094	CAROLYN ST / KATHERINE ST	LEEDS FD (BLOUNT COUNTY)	LEEDS_FD	465	1. REX LAKE FD | 2. BIRMINGHAM FD | 3. IRONDALE FD | 4. TRUSSVILLE FD
6596 NEWBRIDGE DR	UNINCORPORATED	35022	VERIFY - CROSS STREETS UNAVAILABLE	MCADORY FD	MCADORY_FD_1	488	1. BESSEMER FD | 2. EASTERN VALLEY FD | 3. HELENA FD | 4. INDIAN FORD FD
6596 OLD SPRINGVILLE RD	CLAY	35126	OLD SPRINGVILLE RD / TARPON DR	CENTER POINT FD	CPFD_6	448	1. PALMERDALE FD | 2. TRUSSVILLE FD
6596 QUINTON RD	UNINCORPORATED	35062	PARKERS CUT OFF RD / JACKSON RD	WEST JEFFERSON FD	WEST_JEFFERSON_FD	419	1. BAGLEY FD | 2. ADAMSVILLE FD | 3. BIRMINGHAM FD | 4. GRAYSVILLE FD | 5. SHADY GROVE FD | 6. BIRMINGPORT FD
6597 GOODWIN RD	PINSON	35126	BUD HOLMES RD / LEA ANNE CIR	CENTER POINT FD	CPFD_3	445	1. PALMERDALE FD | 2. BIRMINGHAM FD | 3. GLENNWOOD FD | 4. FULTONDALE FD
6597 GOOSE DR	TRUSSVILLE	35173	VERIFY - CROSS STREETS UNAVAILABLE	TRUSSVILLE FD (STATION 4)	TRUSS_403	VERIFY - NO BEAT MATCH	1. BIRMINGHAM FD
6597 LYNN AVE	LEEDS	35094	CAROLYN ST / KATHERINE ST	LEEDS FD (BLOUNT COUNTY)	LEEDS_FD	465	1. REX LAKE FD | 2. BIRMINGHAM FD | 3. IRONDALE FD | 4. TRUSSVILLE FD
6597 NEWBRIDGE DR	UNINCORPORATED	35022	VERIFY - CROSS STREETS UNAVAILABLE	MCADORY FD	MCADORY_FD_1	488	1. BESSEMER FD | 2. EASTERN VALLEY FD | 3. HELENA FD | 4. INDIAN FORD FD
6597 VIRGINIA ST	IRONDALE	35173	BRYAN ST / GRADY ST	IRONDALE FD	IRONDALE_FD	447	1. BIRMINGHAM FD | 2. TRUSSVILLE FD | 3. REX LAKE FD | 4. MOUNTAIN BROOK FD
6598 ADVENT CIR	UNINCORPORATED	35173	LILES LN / ADVENT CUT OFF RD	NO FIRE COVERAGE	COUNTY NO FD	444	1. TRUSSVILLE FD | 2. ARGO FD | 3. PALMERDALE FD | 4. BIRMINGHAM FD | 5. IRONDALE FD | 6. GLENNWOOD FD | 7. FULTONDALE FD | 8. GARDENDALE FD | 9. REX LAKE FD | 10. COUNTY LINE FD | 11. KIMBERLY FD | 12. TARRANT FD | 13. MORRIS FD | 14. MOUNTAIN BROOK FD | 15. WARRIOR FD | 16. MOUNT OLIVE FD | 17. HOOVER FD | 18. ROCKY RIDGE FD | 19. CANE CREEK FD | 20. CORNER FD | 21. FORESTDALE FD | 22. BROOKSIDE FD | 23. HOMEWOOD FD | 24. ADAMSVILLE FD | 25. CARDIFF FD | 26. GRAYSVILLE FD | 27. BAGLEY FD | 28. MINOR FD | 29. FAIRFIELD FD | 30. MIDFIELD FD | 31. SHADY GROVE FD | 32. MULGA FD | 33. PLEASANT GROVE FD | 34. WEST JEFFERSON FD | 35. MAYTOWN FD | 36. LIPSCOMB FD | 37. BRIGHTON FD | 38. BESSEMER FD | 39. SYLVAN SPRINGS FD | 40. HUEYTOWN FD | 41. HELENA FD | 42. CONCORD FD | 43. BIRMINGPORT FD | 44. INDIAN FORD FD | 45. EASTERN VALLEY FD | 46. MCADORY FD | 47. MCCALLA FD | 48. ADGER FD | 49. WARRIOR RIVER FD | 50. LAKEVIEW FD
6598 COUNTRY VIEW DR	PINSON	35126	BUD HOLMES RD / ARROWHEAD CIR	CENTER POINT FD	CPFD_3	445	1. PALMERDALE FD | 2. BIRMINGHAM FD | 3. GLENNWOOD FD | 4. FULTONDALE FD
6598 HILLBROOK LN	HUEYTOWN	35023	HARDIMAN LN & HILLANDALE LN	HUEYTOWN FD	HUEYTOWN_FD	489	1. ADGER FD | 2. BESSEMER FD | 3. CONCORD FD | 4. PLEASANT GROVE FD | 5. BIRMINGHAM FD
6598 JULIA CIR	LEEDS	35094	CAROLYN ST & LYNN CIR / CAROLYN ST	LEEDS FD (BLOUNT COUNTY)	LEEDS_FD	465	1. REX LAKE FD | 2. BIRMINGHAM FD | 3. IRONDALE FD | 4. TRUSSVILLE FD
6598 LOU GEORGE LOOP	UNINCORPORATED	35022	MCCALLA TRACE PKWY / GOOCHER RD	MCADORY FD	MCADORY_FD_1	VERIFY - NO BEAT MATCH	1. BESSEMER FD | 2. EASTERN VALLEY FD | 3. HELENA FD | 4. INDIAN FORD FD
6598 MEMORY LN	TRUSSVILLE	35173	COOPER RD / MARTIN RD	TRUSSVILLE FD (STATION 4)	TRUSS_403	444	1. BIRMINGHAM FD
6598 NEW CASTLE RD	UNINCORPORATED	35116	ROSE DR / JACKSON RD	PALMERDALE FD (STATION 2)	PFD_2	435	1. GLENNWOOD FD | 2. KIMBERLY FD
6598 OLD HIGHWAY 31 N	UNINCORPORATED	35071	VERIFY - CROSS STREETS UNAVAILABLE	NO FIRE COVERAGE	COUNTY NO FD	421	1. GARDENDALE FD | 2. MOUNT OLIVE FD | 3. GLENNWOOD FD | 4. MORRIS FD | 5. BROOKSIDE FD | 6. PALMERDALE FD | 7. FULTONDALE FD | 8. KIMBERLY FD | 9. CORNER FD | 10. BIRMINGHAM FD | 11. FORESTDALE FD | 12. TARRANT FD | 13. WARRIOR FD | 14. CARDIFF FD | 15. CANE CREEK FD | 16. GRAYSVILLE FD | 17. ADAMSVILLE FD | 18. BAGLEY FD | 19. COUNTY LINE FD | 20. WEST JEFFERSON FD | 21. TRUSSVILLE FD | 22. MINOR FD | 23. IRONDALE FD | 24. SHADY GROVE FD | 25. MULGA FD | 26. MAYTOWN FD | 27. MOUNTAIN BROOK FD | 28. PLEASANT GROVE FD | 29. SYLVAN SPRINGS FD | 30. HOMEWOOD FD | 31. FAIRFIELD FD | 32. REX LAKE FD | 33. ROCKY RIDGE FD | 34. MIDFIELD FD | 35. ARGO FD | 36. BIRMINGPORT FD | 37. HOOVER FD | 38. CONCORD FD | 39. HUEYTOWN FD | 40. BRIGHTON FD | 41. LIPSCOMB FD | 42. BESSEMER FD | 43. EASTERN VALLEY FD | 44. ADGER FD | 45. WARRIOR RIVER FD | 46. HELENA FD | 47. INDIAN FORD FD | 48. MCCALLA FD | 49. MCADORY FD | 50. LAKEVIEW FD
6598 OLD SPRINGVILLE RD	CLAY	35126	OLD SPRINGVILLE RD / TARPON DR	CENTER POINT FD	CPFD_6	448	1. TRUSSVILLE FD | 2. PALMERDALE FD
6598 SNOWVILLE BRENT RD	UNINCORPORATED	35062	QUINTON RD / CAROLL ST	WEST JEFFERSON FD	WEST_JEFFERSON_FD	419	1. ADAMSVILLE FD | 2. BAGLEY FD | 3. GRAYSVILLE FD | 4. BIRMINGHAM FD | 5. SHADY GROVE FD | 6. BIRMINGPORT FD
6598 VIRGINIA ST	IRONDALE	35173	BRYAN ST / GRADY ST	IRONDALE FD	IRONDALE_FD	447	1. BIRMINGHAM FD | 2. TRUSSVILLE FD | 3. REX LAKE FD | 4. MOUNTAIN BROOK FD
6598 WARRIOR RIVER RD	UNINCORPORATED	35023	15TH STREET RD / JACKSON DR	CONCORD FD	CFD_1	489	1. BIRMINGHAM FD | 2. BIRMINGPORT FD | 3. HUEYTOWN FD | 4. WARRIOR RIVER FD
6599 BLUE CREEK RD	UNINCORPORATED	35444	CHURCH RD / LAWSONTOWN RD	NO FIRE COVERAGE	COUNTY NO FD	489	1. LAKEVIEW FD | 2. ADGER FD | 3. MCCALLA FD | 4. BESSEMER FD | 5. HUEYTOWN FD | 6. MCADORY FD | 7. CONCORD FD | 8. EASTERN VALLEY FD | 9. INDIAN FORD FD | 10. HELENA FD | 11. WARRIOR RIVER FD | 12. BIRMINGPORT FD | 13. HOOVER FD | 14. BRIGHTON FD | 15. PLEASANT GROVE FD | 16. BIRMINGHAM FD | 17. LIPSCOMB FD | 18. SYLVAN SPRINGS FD | 19. MIDFIELD FD | 20. FAIRFIELD FD | 21. MAYTOWN FD | 22. MINOR FD | 23. ROCKY RIDGE FD | 24. MULGA FD | 25. HOMEWOOD FD | 26. ADAMSVILLE FD | 27. SHADY GROVE FD | 28. WEST JEFFERSON FD | 29. FORESTDALE FD | 30. GRAYSVILLE FD | 31. MOUNTAIN BROOK FD | 32. BROOKSIDE FD | 33. FULTONDALE FD | 34. CARDIFF FD | 35. TARRANT FD | 36. REX LAKE FD | 37. BAGLEY FD | 38. MOUNT OLIVE FD | 39. GARDENDALE FD | 40. IRONDALE FD | 41. CORNER FD | 42. GLENNWOOD FD | 43. TRUSSVILLE FD | 44. MORRIS FD | 45. PALMERDALE FD | 46. KIMBERLY FD | 47. WARRIOR FD | 48. CANE CREEK FD | 49. COUNTY LINE FD | 50. ARGO FD
6599 CASTLE HEIGHTS RD	UNINCORPORATED	35116	CASTLE HEIGHTS LN & GRACE RD / BOOKER DR	GLENWOOD FD	GLENWOOD FIRE 1	435	1. GLENNWOOD FD | 2. GARDENDALE FD | 3. PALMERDALE FD | 4. MORRIS FD
6599 CLAY PALMERDALE RD	CLAY	35126	OLD SPRINGVILLE RD / SELF RD	CENTER POINT FD	CPFD_6	448	1. TRUSSVILLE FD | 2. PALMERDALE FD
6599 COUNTRY VIEW DR	PINSON	35126	BUD HOLMES RD / ARROWHEAD CIR	CENTER POINT FD	CPFD_3	445	1. PALMERDALE FD | 2. BIRMINGHAM FD | 3. GLENNWOOD FD | 4. FULTONDALE FD
6599 JULIA CIR	LEEDS	35094	CAROLYN ST & LYNN CIR / CAROLYN ST	LEEDS FD (BLOUNT COUNTY)	LEEDS_FD	465	1. REX LAKE FD | 2. BIRMINGHAM FD | 3. IRONDALE FD | 4. TRUSSVILLE FD
6599 SOUTH CHALKVILLE RD	TRUSSVILLE	35173	VERIFY - CROSS STREETS UNAVAILABLE	TRUSSVILLE FD (STATION 1)	TRUSS_102	447	1. BIRMINGHAM FD
6599 VIRGINIA ST	IRONDALE	35173	BRYAN ST / GRADY ST	IRONDALE FD	IRONDALE_FD	447	1. BIRMINGHAM FD | 2. TRUSSVILLE FD | 3. REX LAKE FD | 4. MOUNTAIN BROOK FD
6599 WARRIOR RIVER RD	UNINCORPORATED	35023	15TH STREET RD / JACKSON DR	CONCORD FD	CFD_1	498	1. BIRMINGHAM FD | 2. BIRMINGPORT FD | 3. HUEYTOWN FD | 4. WARRIOR RIVER FD
6599 WOMACK RD	PINSON	35126	TELIA DR / MELISSA DR	PALMERDALE FD (STATION 2)	PFD_1	445	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
66 1ST AVE S	BIRMINGHAM	35205	1ST ST S / PUBLIC ALY	BIRMINGHAM FD	0210	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
66 2ND AVE SE	GRAYSVILLE	35073	1ST ST SE / S MAIN ST	GRAYSVILLE FD	GRAYSVILLE FD	425	1. ADAMSVILLE FD | 2. WEST JEFFERSON FD | 3. BROOKSIDE FD | 4. FORESTDALE FD | 5. BAGLEY FD
66 BAGBY DR	HOMEWOOD	35209	UNNAMED DR / GOODWIN CREST DR	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. HOOVER FD | 3. ROCKY RIDGE FD | 4. MOUNTAIN BROOK FD
66 BLUEBELL ST	BESSEMER	35020	CHESTNUT AVE	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. BIRMINGHAM FD | 3. HUEYTOWN FD | 4. MCADORY FD | 5. MCCALLA FD | 6. LIPSCOMB FD | 7. BRIGHTON FD | 8. HOOVER FD | 9. INDIAN FORD FD
66 CLOVERLEAF TRAILER PARK	UNINCORPORATED	35005	CLOVERLEAF DR	ADAMSVILLE FD	ADAMSVILLE_FD	415	1. FORESTDALE FD | 2. MINOR FD | 3. GRAYSVILLE FD | 4. MULGA FD | 5. BIRMINGHAM FD | 6. BROOKSIDE FD | 7. SHADY GROVE FD | 8. MAYTOWN FD | 9. WEST JEFFERSON FD
66 CROSS CREEK DR E	MOUNTIAN BROOK	35213	CROSS CREEK DR & CROSS CREEK DR W	MOUNTAIN FD/BROOK (AUTOMATIC AID) | NO FIRE COVERAGE	COUNTY NO FD | MOUNTAIN_BROOK_FD	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
66 DOGWOOD RD	WALKER COUNTY		DOGWOOD CIR / DEE DR	WALKER COUNTY	WALKER COUNTY	VERIFY - NO BEAT MATCH	1. CORNER FD | 2. BAGLEY FD | 3. WEST JEFFERSON FD | 4. BIRMINGHAM FD | 5. WARRIOR RIVER FD
66 GREEN SPRINGS HWY	HOMEWOOD	35209	VALLEY AVE & W VALLEY AVE / VALLEY AVE	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. HOOVER FD | 3. ROCKY RIDGE FD | 4. MOUNTAIN BROOK FD
66 HELEN ST	WARRIOR	35180	MIMOSA ST / MAE CIR	WARRIOR FD	WARRIOR_FD	420	1. CANE CREEK FD | 2. KIMBERLY FD | 3. CORNER FD
66 HIDDEN VALLEY CIR	UNINCORPORATED	35215	THOMPSON AVE	CENTER POINT FD	CPFD_3	VERIFY - NO BEAT MATCH	1. FULTONDALE FD | 2. BIRMINGHAM FD | 3. GLENNWOOD FD | 4. PALMERDALE FD
66 KAPPA AVE	BIRMINGHAM	35205	1ST PL S & 1ST ST S / PUBLIC ALY	BIRMINGHAM FD	0210	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
66 LEDLOW RD	WARRIOR	35180	DANA RD	WARRIOR FD	WARRIOR_FD	420	1. CANE CREEK FD | 2. KIMBERLY FD | 3. CORNER FD
66 MAPLE TRCE	HOOVER	35244	PARK TRACE DR	HOOVER FD	HOOVER_FD	487	1. HELENA FD | 2. ROCKY RIDGE FD | 3. BESSEMER FD | 4. INDIAN FORD FD | 5. BIRMINGHAM FD | 6. NORTH SHELBY FD | 7. HOMEWOOD FD | 8. REX LAKE FD
66 MOONGLOW DR	BIRMINGHAM	35215	MOONGLOW CIR / STARTREK LN	BIRMINGHAM FD	2908	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
66 NORMAN DR	MOUNTIAN BROOK	35213	OVERBROOK RD / ALDEN LN	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. MOUNTAIN BROOK FD | 2. BIRMINGHAM FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD | 5. IRONDALE FD
66 NORWOOD CIR	BIRMINGHAM	35234	PUBLIC ALY / 35TH ST N	BIRMINGHAM FD	0907	435	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
66 PINE CREST RD	MOUNTIAN BROOK	35223	BALMORAL RD / VIRGINIA RD	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. MOUNTAIN BROOK FD | 2. BIRMINGHAM FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD | 5. IRONDALE FD
66 PRATT HWY	BIRMINGHAM	35214	WOODCREST DR / SHERIDAN RD	BIRMINGHAM FD	1803	415	1. FORESTDALE FD
66 SHADES CREST RD	HOOVER	35226	CLIFFWOOD LN / PINE CLIFF CIR	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. ROCKY RIDGE FD | 3. HELENA FD | 4. INDIAN FORD FD | 5. BIRMINGHAM FD | 6. HOMEWOOD FD | 7. NORTH SHELBY FD | 8. REX LAKE FD
66 SPRINGDALE DR	GARDENDALE	35071	LONGWOOD DR / RIDGELAND DR	GARDENDALE FD	GARDENDALE_FD	421	1. MOUNT OLIVE FD | 2. BROOKSIDE FD | 3. FORESTDALE FD | 4. FULTONDALE FD | 5. GLENNWOOD FD | 6. MORRIS FD
66 STARTREK CIR	BIRMINGHAM	35215	STARTREK LN / FREDA JANE LN	BIRMINGHAM FD	2908	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
66 TAMMERA TRL	UNINCORPORATED	35215	CHALKVILLE SCHOOL RD	CENTER POINT FD	CPFD_7	439	1. BIRMINGHAM FD | 2. TRUSSVILLE FD
66 TOADVINE RD	UNINCORPORATED	35023	TAYLORS FERRY RD / DAVID GLAZE RD	UNINCORPORATED FD	BIRMINGPORT_FD_1	497	1. BIRMINGPORT FD | 2. CONCORD FD | 3. BIRMINGHAM FD | 4. WARRIOR RIVER FD | 5. SYLVAN SPRINGS FD | 6. WEST JEFFERSON FD
66 TOWN AND COUNTRY CIR	UNINCORPORATED	35215	EARLINE ST	CENTER POINT FD/BIRMINGHAM FD (AUTOMATIC AID)	CPFD_13 BIRM	439	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
66 TRAFALGAR SQ	UNINCORPORATED	35215	OLD SPRINGVILLE RD	CENTER POINT FD	CPFD_7	439	1. BIRMINGHAM FD | 2. TRUSSVILLE FD
66 WARRIOR LN	UNINCORPORATED	35023	TAYLORS FERRY RD	NO FIRE COVERAGE	JEFFERSON COUNTY	VERIFY - NO BEAT MATCH	1. CONCORD FD | 2. BIRMINGPORT FD | 3. WARRIOR RIVER FD | 4. BIRMINGHAM FD | 5. MAYTOWN FD | 6. BESSEMER FD | 7. MINOR FD | 8. MCCALLA FD | 9. ADAMSVILLE FD | 10. LAKEVIEW FD | 11. FORESTDALE FD | 12. GRAYSVILLE FD | 13. EASTERN VALLEY FD | 14. MCADORY FD | 15. BROOKSIDE FD | 16. CARDIFF FD | 17. HOOVER FD | 18. MOUNT OLIVE FD | 19. HOMEWOOD FD | 20. FULTONDALE FD | 21. GARDENDALE FD | 22. ROCKY RIDGE FD | 23. CORNER FD | 24. MOUNTAIN BROOK FD | 25. TARRANT FD | 26. GLENNWOOD FD | 27. KIMBERLY FD | 28. CANE CREEK FD | 29. WARRIOR FD | 30. PALMERDALE FD | 31. TRUSSVILLE FD
66 WOODWARD ESTS	LIPSCOMB	35020	VERIFY - CROSS STREETS UNAVAILABLE	LIPSCOMB FD	LIPSCOMB_FD	490	1. BIRMINGHAM FD | 2. BESSEMER FD
660 15TH CT NW	BIRMINGHAM	35215	7TH ST NW / 6TH WAY NW	BIRMINGHAM FD	2802	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
660 16TH TER NW	CENTER POINT	35215	16TH TERRACE CIR NW / 6TH WAY NW	CENTER POINT FD	CPFD_1	441	1. BIRMINGHAM FD
660 9TH AVE SW	BESSEMER	35022	BRIARWOOD DR & VISIONLAND PKWY / W LAKE CIR SW	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. HUEYTOWN FD | 3. MCCALLA FD | 4. MCADORY FD | 5. BIRMINGHAM FD | 6. BRIGHTON FD | 7. LIPSCOMB FD | 8. HOOVER FD | 9. INDIAN FORD FD
660 AVIATION DR SE	UNINCORPORATED	35022	VERIFY - CROSS STREETS UNAVAILABLE	INDIAN FORD FD (SHELBY COUNTY)	INDIAN_FORD_FD	488	1. HELENA FD | 2. BESSEMER FD | 3. MCADORY FD | 4. HOOVER FD
660 BEASLEY RD	GARDENDALE	35071	MEADOWOOD DR / GAMBLE CIR	GARDENDALE FD	GARDENDALE_FD	421	1. MOUNT OLIVE FD | 2. BROOKSIDE FD | 3. GLENNWOOD FD | 4. MORRIS FD | 5. FULTONDALE FD | 6. FORESTDALE FD
660 BLACK CREEK RD	UNINCORPORATED	35217	FRANKLIN RD / OLD BLACK CREEK RD	CENTER POINT FD	CPFD_10	VERIFY - NO BEAT MATCH	1. FULTONDALE FD | 2. TARRANT FD | 3. GARDENDALE FD | 4. BIRMINGHAM FD
660 BLUFF PARK RD	HOOVER	35226	3RD ST & MOUNTAIN DR / VANN AVE	HOOVER FD	HOOVER_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
660 BOURBON CIR	BIRMINGHAM	35213	MONTCLAIR RD	BIRMINGHAM FD	2603	465	1. MOUNTAIN BROOK FD
660 CALLAHAN RD	BIRMINGHAM	35215	GURLEY LN / ROEBUCK DR	BIRMINGHAM FD	2705	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
660 CAMDEN RDG	HOMEWOOD	35226	VERIFY - CROSS STREETS UNAVAILABLE	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. HOOVER FD | 3. ROCKY RIDGE FD | 4. MOUNTAIN BROOK FD
660 CANDLE LN	BIRMINGHAM	35214	CASTLEBERRY WAY / HUNTINGTON DR	BIRMINGHAM FD	1804	417	1. FORESTDALE FD
660 CIRCLE HEIGHTS DR	BOOKSIDE	35214	CIRCLE HEIGHTS LN / LORA LN	BOOKSIDE FD	BROOKSIDE_FD_1	418	1. BROOKSIDE FD | 2. FORESTDALE FD | 3. ADAMSVILLE FD | 4. GRAYSVILLE FD | 5. BIRMINGHAM FD | 6. MOUNT OLIVE FD | 7. CARDIFF FD | 8. GARDENDALE FD
660 CLEARVIEW RD	HOOVER	35226	CLEARVIEW DR & MOUNTAIN DR / SUMMER RIDGE DR	HOOVER FD	HOOVER_FD	469	1. BIRMINGHAM FD | 2. HOMEWOOD FD | 3. ROCKY RIDGE FD | 4. BESSEMER FD | 5. NORTH SHELBY FD | 6. HELENA FD | 7. INDIAN FORD FD | 8. REX LAKE FD
660 COALFIRE AVE	HUEYTOWN	35023	CLIO ST / MCKNIGHT ST	HUEYTOWN FD	HUEYTOWN_FD	492	1. PLEASANT GROVE FD | 2. BIRMINGHAM FD | 3. BESSEMER FD | 4. CONCORD FD | 5. ADGER FD
660 CORT CIR NE	UNINCORPORATED	35215	20TH CT NE	CENTER POINT FD	CPFD_2	439	1. BIRMINGHAM FD
660 EARLINE CIR	BIRMINGHAM	35215	ELLISON DR / EARLINE ST & ELLISON DR	BIRMINGHAM FD	3004	VERIFY - NO BEAT MATCH	1. TRUSSVILLE FD
660 EDGEMOOR DR	HOMEWOOD	35209	NORTHMOOR LN / OAKMOOR DR & RIDGEMOOR DR	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. HOOVER FD | 3. ROCKY RIDGE FD | 4. MOUNTAIN BROOK FD
660 ELM ST SW	BESSEMER	35022	MEMORIAL DR SW & PRINCESS CIR SW / JERRY AVE	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. MCADORY FD | 3. MCCALLA FD | 4. HUEYTOWN FD | 5. BIRMINGHAM FD | 6. BRIGHTON FD | 7. LIPSCOMB FD | 8. INDIAN FORD FD | 9. HOOVER FD
660 EXETER AVE	BIRMINGHAM	35212	7TH AVE S / EMMA ST	BIRMINGHAM FD	2605	465	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
660 FLAG CIR	HOOVER	35226	LAKE CREST DR & TRUMPET CIR	HOOVER FD	HOOVER_FD	487	1. ROCKY RIDGE FD | 2. BESSEMER FD | 3. HELENA FD | 4. BIRMINGHAM FD | 5. INDIAN FORD FD | 6. HOMEWOOD FD | 7. NORTH SHELBY FD | 8. REX LAKE FD
660 HAGOOD ST	BIRMINGHAM	35213	PUBLIC ALY / GLADSTONE AVE	BIRMINGHAM FD	2603	465	1. MOUNTAIN BROOK FD
660 HERITAGE PARK LN	HOOVER	35226	MEMORIAL ST / HERITAGE PARK DR	HOOVER FD	HOOVER_FD	487	1. ROCKY RIDGE FD | 2. BESSEMER FD | 3. BIRMINGHAM FD | 4. HELENA FD | 5. HOMEWOOD FD | 6. NORTH SHELBY FD | 7. INDIAN FORD FD | 8. REX LAKE FD
660 HOWELL LN	UNINCORPORATED	35023	PINEWOOD AVE	CONCORD FD	CFD_1	VERIFY - NO BEAT MATCH	1. HUEYTOWN FD | 2. BIRMINGHAM FD | 3. BIRMINGPORT FD | 4. WARRIOR RIVER FD
660 IDLEWILD CIR	BIRMINGHAM	35205	PUBLIC ALY / 6TH ST	BIRMINGHAM FD	0704	469	1. HOMEWOOD FD
660 KIMBERLY ESTATES DR	KIMBERLY	35091	VERIFY - CROSS STREETS UNAVAILABLE	KIMBERLY FD	KFD_1	437	1. MORRIS FD | 2. PALMERDALE FD
660 LAKE CREST DR	HOOVER	35226	CAMELLIA CIR / LAKE CREST PKWY	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. ROCKY RIDGE FD | 3. HELENA FD | 4. INDIAN FORD FD | 5. BIRMINGHAM FD | 6. HOMEWOOD FD | 7. NORTH SHELBY FD | 8. REX LAKE FD
660 LLOYD NOLAND PKWY	FAIRFIELD	35064	NOLAND PL / COURT F & OAKLAND AVE	FAIRFIELD FD	FAIRFIELD_FD	494	1. BIRMINGHAM FD | 2. MIDFIELD FD
660 MADEIRA CIR	MORRIS	35116	MADEIRA DR	MORRIS FD	MORRIS_FD_1	437	1. KIMBERLY FD | 2. GLENNWOOD FD | 3. GARDENDALE FD
660 MERRIMONT CIR	BIRMINGHAM	35213	MONTCLAIR RD	BIRMINGHAM FD	2603	465	1. MOUNTAIN BROOK FD
660 MONTGOMERY HWY	VESTAVIA HILLS	35216	UNNAMED RD / KENTUCKY AVE	VESTAVIA FD	VESTAVIA_FD	VERIFY - NO BEAT MATCH	1. HOMEWOOD FD | 2. ROCKY RIDGE FD | 3. HOOVER FD | 4. MOUNTAIN BROOK FD | 5. BIRMINGHAM FD | 6. REX LAKE FD | 7. IRONDALE FD
660 MULGA LOOP RD	MULGA	35118	OAK AVE / MAGNOLIA AVE	MULGA FD	MULGA_FD_1	498	1. MINOR FD | 2. BIRMINGHAM FD | 3. ADAMSVILLE FD
660 OAK DR E	TRUSSVILLE	35173	HAZELNUT DR / BLACK OAK LN	TRUSSVILLE FD (STATION 1)	TRUSS_102	444	1. BIRMINGHAM FD
660 OAKMOOR DR	HOMEWOOD	35209	HILLMOOR LN / EDGEMOOR DR & RIDGEMOOR DR	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. HOOVER FD | 3. ROCKY RIDGE FD | 4. MOUNTAIN BROOK FD
660 OLD PINE RD	BIRMINGHAM	35214	DOGWOOD RD / CHERRY RD	BIRMINGHAM FD	1804	416	1. FORESTDALE FD
660 OLDE TOWNE RD	VESTAVIA HILLS	35216	VESTAVIA PKWY	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. HOOVER FD | 3. HOMEWOOD FD | 4. BIRMINGHAM FD | 5. MOUNTAIN BROOK FD | 6. REX LAKE FD | 7. IRONDALE FD
660 PADEN DR	VESTAVIA HILLS	35226	GREENMONT DR / BENBOW DR	VESTAVIA FD	VESTAVIA_FD	469	1. HOOVER FD | 2. ROCKY RIDGE FD | 3. HOMEWOOD FD | 4. BIRMINGHAM FD | 5. MOUNTAIN BROOK FD | 6. REX LAKE FD | 7. IRONDALE FD
