63 MAIN ST N	GRAYSVILLE	35073	VERIFY - CROSS STREETS UNAVAILABLE	GRAYSVILLE FD	GRAYSVILLE FD	VERIFY - NO BEAT MATCH	1. ADAMSVILLE FD | 2. BROOKSIDE FD | 3. WEST JEFFERSON FD | 4. FORESTDALE FD | 5. BAGLEY FD
63 MCDONALD ST	TARRANT	35217	SWEET AVE / PUBLIC ALY	TARRANT FD	TARRANT_FD	VERIFY - NO BEAT MATCH	1. BIRMINGHAM FD | 2. FULTONDALE FD
63 MOONGLOW DR	BIRMINGHAM	35215	MOONGLOW CIR / STARTREK LN	BIRMINGHAM FD	2908	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
63 ROYAL COACH CIR	BESSEMER	35022	SURREY CIR / CARRIAGE HILLS DR	BESSEMER FD	BESSEMER_FD	487	1. MCCALLA FD | 2. MCADORY FD | 3. EASTERN VALLEY FD | 4. HUEYTOWN FD | 5. INDIAN FORD FD | 6. BIRMINGHAM FD | 7. HOOVER FD | 8. BRIGHTON FD | 9. LIPSCOMB FD
63 SHADES CREST RD	HOOVER	35226	CLIFFWOOD LN / PINE CLIFF CIR	HOOVER FD	HOOVER_FD	487	1. BESSEMER FD | 2. ROCKY RIDGE FD | 3. HELENA FD | 4. INDIAN FORD FD | 5. BIRMINGHAM FD | 6. HOMEWOOD FD | 7. NORTH SHELBY FD | 8. REX LAKE FD
63 SHADY BROOK EST	LIPSCOMB	35020	16TH ST S / 16TH ST S & AVENUE H	LIPSCOMB FD	LIPSCOMB_FD	490	1. BIRMINGHAM FD | 2. BESSEMER FD
63 SPRINGDALE DR	GARDENDALE	35071	LONGWOOD DR / HIGHCROFT DR	GARDENDALE FD	GARDENDALE_FD	421	1. MOUNT OLIVE FD | 2. BROOKSIDE FD | 3. FORESTDALE FD | 4. FULTONDALE FD | 5. GLENNWOOD FD | 6. MORRIS FD
63 STARTREK CIR	BIRMINGHAM	35215	STARTREK LN / FREDA JANE LN	BIRMINGHAM FD	2908	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
63 TAMMERA TRL	UNINCORPORATED	35215	CHALKVILLE SCHOOL RD	CENTER POINT FD	CPFD_7	439	1. BIRMINGHAM FD | 2. TRUSSVILLE FD
63 TOWN AND COUNTRY CIR	UNINCORPORATED	35215	EARLINE ST	CENTER POINT FD/BIRMINGHAM FD (AUTOMATIC AID)	CPFD_13 BIRM	439	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
63 TRAFALGAR SQ	UNINCORPORATED	35215	OLD SPRINGVILLE RD	CENTER POINT FD	CPFD_7	439	1. BIRMINGHAM FD | 2. TRUSSVILLE FD
63 WILKES CIR	MIDFIELD	35228	WOODFALL DR & WOODWARD RD / WOODWARD RD	MIDFIELD FD	MIDFIELD_FD	490	1. BRIGHTON FD | 2. BIRMINGHAM FD | 3. FAIRFIELD FD
63 WOODWARD ESTS	LIPSCOMB	35020	VERIFY - CROSS STREETS UNAVAILABLE	LIPSCOMB FD	LIPSCOMB_FD	490	1. BIRMINGHAM FD | 2. BESSEMER FD
630 11TH CT W	BIRMINGHAM	35204	7TH ST W / 6TH ST W	BIRMINGHAM FD	1407	417	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 11TH ST	MIDFIELD	35228	PUBLIC ALY / 7TH AVE	MIDFIELD FD	MIDFIELD_FD	490	1. FAIRFIELD FD | 2. BRIGHTON FD | 3. BIRMINGHAM FD
630 13TH ST N	BESSEMER	35020	7TH AVE & 7TH AVE N / PUBLIC ALY	BESSEMER FD	BESSEMER_FD	487	1. HUEYTOWN FD | 2. EASTERN VALLEY FD | 3. BIRMINGHAM FD | 4. BRIGHTON FD | 5. LIPSCOMB FD | 6. MCADORY FD | 7. HOOVER FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 14TH ST N	BIRMINGHAM	35203	7TH AVE N / PUBLIC ALY	BIRMINGHAM FD	0610	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 17TH ST N	BESSEMER	35020	7TH AVE N / PUBLIC ALY	BESSEMER FD	BESSEMER_FD	490	1. HUEYTOWN FD | 2. BRIGHTON FD | 3. BIRMINGHAM FD | 4. EASTERN VALLEY FD | 5. LIPSCOMB FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 17TH ST N	BIRMINGHAM	35203	7TH AVE N / PUBLIC ALY	BIRMINGHAM FD	0609	490	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 19TH AVE S	BIRMINGHAM	35205	6TH ST & 6TH ST S / PUBLIC ALY	BIRMINGHAM FD	0704	469	1. HOMEWOOD FD
630 19TH ST N	BESSEMER	35020	7TH AVE N / PUBLIC ALY	BESSEMER FD	BESSEMER_FD	490	1. BRIGHTON FD | 2. HUEYTOWN FD | 3. BIRMINGHAM FD | 4. LIPSCOMB FD | 5. EASTERN VALLEY FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 20TH ST N	BESSEMER	35020	PUBLIC ALY / 7TH AVE N	BESSEMER FD	BESSEMER_FD	490	1. BRIGHTON FD | 2. BIRMINGHAM FD | 3. HUEYTOWN FD | 4. LIPSCOMB FD | 5. EASTERN VALLEY FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 22ND CT N	BESSEMER	35020	7TH AVE N	BESSEMER FD	BESSEMER_FD	490	1. BRIGHTON FD | 2. BIRMINGHAM FD | 3. LIPSCOMB FD | 4. HUEYTOWN FD | 5. EASTERN VALLEY FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 22ND ST N	BESSEMER	35020	PUBLIC ALY / 7TH AVE N	BESSEMER FD	BESSEMER_FD	490	1. BRIGHTON FD | 2. BIRMINGHAM FD | 3. LIPSCOMB FD | 4. HUEYTOWN FD | 5. EASTERN VALLEY FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 23RD AVE W	BIRMINGHAM	35204	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	1409	VERIFY - NO BEAT MATCH	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 24TH ST N	BESSEMER	35020	7TH AVE N / PUBLIC ALY	BESSEMER FD	BESSEMER_FD	490	1. BRIGHTON FD | 2. BIRMINGHAM FD | 3. LIPSCOMB FD | 4. HUEYTOWN FD | 5. EASTERN VALLEY FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 25TH ST N	BIRMINGHAM	35203	7TH AVE N / 6TH AVE N	BIRMINGHAM FD	0103	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 26TH AVE NW	BIRMINGHAM	35215	26TH CT NW / JEFFERSON STATE PKWY	BIRMINGHAM FD	2802	442	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 26TH ST SW	BIRMINGHAM	35211	PUBLIC ALY / LEE AVE & PUBLIC ALY	BIRMINGHAM FD	2008	469	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
