2921 LELAND RD	HOMEWOOD	35209	PUBLIC ALY / SUTHERLAND PL	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. ROCKY RIDGE FD | 4. HOOVER FD
2921 LINDSEY LOOP RD	UNINCORPORATED	35022	NICHOLE LN / DICKEY SPRINGS RD	MCADORY FD	MCADORY_FD_1	VERIFY - NO BEAT MATCH	1. BESSEMER FD | 2. INDIAN FORD FD | 3. EASTERN VALLEY FD | 4. HELENA FD
2921 LOVELL LN	HUEYTOWN	35023	VIRGINIA DR	HUEYTOWN FD	HUEYTOWN_FD	489	1. CONCORD FD | 2. ADGER FD | 3. BESSEMER FD
2921 MONTE DESTE DR	HOOVER	35216	MONTE D ESTE WAY / MONTE DORO WAY	HOOVER FD	HOOVER_FD	467	1. ROCKY RIDGE FD | 2. NORTH SHELBY FD | 3. HOMEWOOD FD | 4. BIRMINGHAM FD
2921 MORGAN RD	BESSEMER	35022	LAKE DR SE / GREENMOR DR SE & PARKWOOD RD SE	BESSEMER FD	BESSEMER_FD	487	1. INDIAN FORD FD | 2. HOOVER FD | 3. MCADORY FD | 4. EASTERN VALLEY FD
2921 OLD ROCKY RIDGE RD	UNINCORPORATED	35243	OLD ROCKY RIDGE RD / ROSEMARY LN	ROCKY RIDGE FD (STATION 1)	RRST1_B	VERIFY - NO BEAT MATCH	1. HOOVER FD | 2. BIRMINGHAM FD
2921 OVERHILL RD	MOUNTIAN BROOK	35223	HEATHERMOOR RD / WATKINS RD	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. MOUNTAIN BROOK FD | 2. BIRMINGHAM FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD
2921 PANORAMA TRL	VESTAVIA HILLS	35216	VESTAVIA PKWY / OLD SOUTH TRCE & PIZITZ DR	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. HOOVER FD | 3. HOMEWOOD FD | 4. BIRMINGHAM FD | 5. MOUNTAIN BROOK FD
2921 PARKRIDGE DR	HOMEWOOD	35209	PUBLIC ALY & SUTHERLAND PL / MANHATTAN AVE & PUBLIC ALY	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. ROCKY RIDGE FD | 4. HOOVER FD
2921 PEBBLE CREEK PKWY	UNINCORPORATED	35214	FORESTDALE BLVD	FORESTDALE FD	FORESTDALE_FD	416	1. BIRMINGHAM FD | 2. ADAMSVILLE FD | 3. BROOKSIDE FD
2921 PETTIFORD AVE SW	BIRMINGHAM	35211	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	2501	469	1. MIDFIELD FD
2921 PRICE ST	BIRMINGHAM	35224	COLLIER AVE / BIRD AVE & KING AVE	BIRMINGHAM FD	1701	415	1. ADAMSVILLE FD | 2. MINOR FD | 3. FAIRFIELD FD | 4. PLEASANT GROVE FD
2921 PUMP HOUSE RD	MOUNTIAN BROOK	35243	HIGHWAY 280 W / HIGHWAY 280 E & STERLINGWOOD DR	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	466	1. MOUNTAIN BROOK FD | 2. ROCKY RIDGE FD | 3. BIRMINGHAM FD | 4. HOMEWOOD FD
2921 RESERVE CT	VESTAVIA HILLS	35243	VERIFY - CROSS STREETS UNAVAILABLE	VESTAVIA FD/ROCKY RIDGE FD (STATION 2 - AUTOMATIC AID)	VEST_RRFD_2	467	1. HOOVER FD | 2. MOUNTAIN BROOK FD
2921 RIME VILLAGE DR	HOOVER	35216	VERIFY - CROSS STREETS UNAVAILABLE	HOOVER FD	HOOVER_FD	467	1. ROCKY RIDGE FD | 2. NORTH SHELBY FD
2921 RIVER VIEW RD	UNINCORPORATED	35242	LAKE PARK CIR / RIVERVIEW RD		E101_R112	467	1. BIRMINGHAM FD | 2. ROCKY RIDGE FD | 3. HOOVER FD | 4. MOUNTAIN BROOK FD
2921 RIVERWOOD TER	SHELBY COUNTY	35242	VERIFY - CROSS STREETS UNAVAILABLE	HOOVER FD	SHELBY COUNTY	VERIFY - NO BEAT MATCH	1. ROCKY RIDGE FD | 2. NORTH SHELBY FD | 3. BIRMINGHAM FD | 4. REX LAKE FD
2921 RYECROFT RD	MOUNTIAN BROOK	35223	DUNBARTON DR / WESTMORELAND DR	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. MOUNTAIN BROOK FD | 2. ROCKY RIDGE FD | 3. BIRMINGHAM FD | 4. HOMEWOOD FD | 5. IRONDALE FD
2921 SMITH SIMS RD	TRUSSVILLE	35173	HUNTERS CREEK DR / MOUNTAIN RIDGE RD	TRUSSVILLE FD (STATION 2)	TRUSS_201	VERIFY - NO BEAT MATCH	1. IRONDALE FD | 2. BIRMINGHAM FD
2921 SNAVELY AVE SW	BIRMINGHAM	35211	30TH ST SW & PUBLIC ALY / 29TH ST SW	BIRMINGHAM FD	2501	469	1. MIDFIELD FD
2921 STEINER CT SW	BIRMINGHAM	35211	23RD ST SW / 22ND ST SW	BIRMINGHAM FD	2008	469	NONE WITHIN 3 MILES - VERIFY
2921 STREETER DR	UNINCORPORATED	35023	15TH STREET RD	NO FIRE COVERAGE	COUNTY NO FD	489	1. HUEYTOWN FD | 2. BESSEMER FD | 3. CONCORD FD | 4. BRIGHTON FD | 5. PLEASANT GROVE FD
2921 TARALANE DR	VESTAVIA HILLS	35216	TARALANE TRL / TARALANE CIR	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. HOOVER FD | 3. HOMEWOOD FD | 4. BIRMINGHAM FD | 5. MOUNTAIN BROOK FD
2921 TERESA AVE	HUEYTOWN	35023	NOVEL DR / HIGHLANDER DR	HUEYTOWN FD	HUEYTOWN_FD	492	1. BESSEMER FD | 2. CONCORD FD | 3. PLEASANT GROVE FD | 4. BIRMINGHAM FD
2921 UNA ST	UNINCORPORATED	35214	SARAH AVE / LORETTA ST	FORESTDALE FD	FORESTDALE_FD	418	1. BROOKSIDE FD | 2. BIRMINGHAM FD | 3. ADAMSVILLE FD | 4. MOUNT OLIVE FD | 5. GRAYSVILLE FD | 6. GARDENDALE FD
2921 VALLEY VIEW CIR	UNINCORPORATED	35005	VALLEY VIEW WAY / VALLEY VIEW TER	SHADY GROVE FD	SGFD_1	415	1. ADAMSVILLE FD | 2. WEST JEFFERSON FD | 3. MAYTOWN FD | 4. SYLVAN SPRINGS FD
2921 VIRGINIA RD	MOUNTIAN BROOK	35223	PINE HAVEN DR / PINE CREST RD	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. MOUNTAIN BROOK FD | 2. BIRMINGHAM FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD | 5. IRONDALE FD
2921 WESTWIND DR	HUEYTOWN	35023	VIRGINIA DR / WHITE OAK LN	HUEYTOWN FD	HUEYTOWN_FD	489	1. CONCORD FD | 2. ADGER FD | 3. BESSEMER FD
2921 WOOD DR NE	CENTER POINT	35215	4TH ST NE / 3RD ST NE	CENTER POINT FD	CPFD_2	440	1. BIRMINGHAM FD
292114 COLUMBIANA RD	VESTAVIA HILLS	35216	JACOBS RD / WOODMERE PL	VESTAVIA FD	VESTAVIA_FD	VERIFY - NO BEAT MATCH	1. HOOVER FD | 2. ROCKY RIDGE FD | 3. HOMEWOOD FD | 4. BIRMINGHAM FD | 5. MOUNTAIN BROOK FD
2922 10TH AVE N	BESSEMER	35020	30TH ST N / 29TH ST N	BESSEMER FD	BESSEMER_FD	490	1. BRIGHTON FD | 2. BIRMINGHAM FD | 3. LIPSCOMB FD | 4. HUEYTOWN FD | 5. EASTERN VALLEY FD
2922 11TH AVE N	BESSEMER	35020	30TH ST & 30TH ST N / 29TH ST N	BESSEMER FD	BESSEMER_FD	490	1. BRIGHTON FD | 2. BIRMINGHAM FD | 3. LIPSCOMB FD | 4. HUEYTOWN FD | 5. EASTERN VALLEY FD
2922 24TH ST W	BIRMINGHAM	35208	24TH ST & EUFAULA AVE / 24TH ST & CULLMAN AVE	BIRMINGHAM FD	2003	469	NONE WITHIN 3 MILES - VERIFY
2922 2ND ST	UNINCORPORATED	35172	CHURCH ST / SANDERS PARK RD	TRAFFORD FD	TRAFFORD FD	437	1. COUNTY LINE FD | 2. PALMERDALE FD | 3. WARRIOR FD
2922 45TH AVE N	BIRMINGHAM	35207	PUBLIC ALY / DECATUR HWY	BIRMINGHAM FD	1303	435	1. NORTH SMITHFIELD DEPARTMENT FD | 2. FULTONDALE FD
2922 ALLISON BONNETT MEMORI DR	HUEYTOWN	35023	VERIFY - CROSS STREETS UNAVAILABLE	HUEYTOWN FD	HUEYTOWN_FD	VERIFY - NO BEAT MATCH	1. BIRMINGHAM FD | 2. BESSEMER FD | 3. PLEASANT GROVE FD | 4. CONCORD FD
2922 ASHBY LN	HOOVER	35226	VERIFY - CROSS STREETS UNAVAILABLE	HOOVER FD	HOOVER_FD	487	1. BIRMINGHAM FD | 2. BESSEMER FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD
2922 AVENUE C	BIRMINGHAM	35218	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	1603	415	1. FAIRFIELD FD
2922 AVENUE D	BIRMINGHAM	35218	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	1603	415	1. FAIRFIELD FD
2922 AVENUE F	BIRMINGHAM	35218	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	1603	415	1. FAIRFIELD FD
2922 AVENUE I	BIRMINGHAM	35218	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	1603	415	1. FAIRFIELD FD
2922 CHESTNUT RIDGE LN	UNINCORPORATED	35216	CHESTNUT RIDGE PL / CHESTNUT RIDGE CIR	ROCKY RIDGE FD (STATION 1)	RRST1_A	467	1. HOOVER FD | 2. NORTH SHELBY FD
2922 COLUMBIANA CT	VESTAVIA HILLS	35216	VERIFY - CROSS STREETS UNAVAILABLE	VESTAVIA FD	VESTAVIA_FD	469	1. ROCKY RIDGE FD | 2. HOOVER FD | 3. HOMEWOOD FD | 4. BIRMINGHAM FD
2922 COMMERCE SQ S	IRONDALE	35210	VERIFY - CROSS STREETS UNAVAILABLE	IRONDALE FD	IRONDALE_FD	447	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. REX LAKE FD
2922 CREEK LN NE	UNINCORPORATED	35215	FARRINGTON DR / COUNTRY VIEW TER	CENTER POINT FD	CPFD_2	440	1. BIRMINGHAM FD
2922 CRESTWOOD BLVD	IRONDALE	35210	COMMERCE LN / AUTOMATION WAY	IRONDALE FD	IRONDALE_FD	447	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. REX LAKE FD
2922 DEER RUN LN	TRUSSVILLE	35173	WHITE TAIL LN / HUNTERS CREEK DR	TRUSSVILLE FD (STATION 2)	TRUSS_201	VERIFY - NO BEAT MATCH	1. IRONDALE FD | 2. BIRMINGHAM FD
2922 DEVON RD	HUEYTOWN	35023	PUBLIC ALY / EDGEHILL DR	HUEYTOWN FD	HUEYTOWN_FD	489	1. BESSEMER FD | 2. CONCORD FD | 3. PLEASANT GROVE FD | 4. BIRMINGHAM FD
2922 EARLYTOWN RD	UNINCORPORATED	35214	LORETTA ST / EARLYTOWN LN	FORESTDALE FD	FORESTDALE_FD	418	1. BROOKSIDE FD | 2. BIRMINGHAM FD | 3. ADAMSVILLE FD | 4. MOUNT OLIVE FD | 5. GRAYSVILLE FD | 6. GARDENDALE FD
2922 FORESTDALE BLVD	UNINCORPORATED	35005	BAGGETT HILLS RD / SWINDLE DR	FORESTDALE FD	FORESTDALE_FD	416	1. ADAMSVILLE FD | 2. GRAYSVILLE FD | 3. BROOKSIDE FD | 4. BIRMINGHAM FD
2922 GRANVILLE AVE	BESSEMER	35020	30TH ST & 30TH ST S / 29TH ST S	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. LIPSCOMB FD | 3. BRIGHTON FD | 4. HOOVER FD | 5. EASTERN VALLEY FD | 6. HUEYTOWN FD
2922 HASTINGS RD	MOUNTIAN BROOK	35223	VERIFY - CROSS STREETS UNAVAILABLE	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. MOUNTAIN BROOK FD | 2. BIRMINGHAM FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD | 5. IRONDALE FD
2922 HIGHWOOD CT	HUEYTOWN	35023	HIGHWOOD DR	HUEYTOWN FD	HUEYTOWN_FD	492	1. BESSEMER FD | 2. BIRMINGHAM FD | 3. PLEASANT GROVE FD | 4. CONCORD FD
2922 HOLBROOK AVE	BESSEMER	35020	28TH ST S / 30TH ST	BESSEMER FD	BESSEMER_FD	490	1. BIRMINGHAM FD | 2. LIPSCOMB FD | 3. BRIGHTON FD | 4. HOOVER FD | 5. EASTERN VALLEY FD | 6. HUEYTOWN FD
2922 JACKSON RD	UNINCORPORATED	35116	MCCOMBS CHAPEL RD / NEW CASTLE RD	GLENWOOD FD	GLENWOOD FIRE 1	VERIFY - NO BEAT MATCH	1. PALMERDALE FD | 2. GLENNWOOD FD | 3. GARDENDALE FD
2922 LELAND RD	HOMEWOOD	35209	PUBLIC ALY / SUTHERLAND PL	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. ROCKY RIDGE FD | 4. HOOVER FD
