	BRIGHTON	35215	BRIGHTON FD	BRIGHTON_FD	VERIFY - NO BEAT MATCH	BESSEMER FD | HUEYTOWN FD | MIDFIELD FD | BIRMINGHAM FD
	BROOKSIDE	35117	BOOKSIDE FD	BROOKSIDE_FD_1	VERIFY - NO BEAT MATCH	BIRMINGHAM FD | FORESTDALE FD | MT. OLIVE FD | GARDENDALE FD
	COUNTY LINE		TRAFFORD FD	TRAFFORD FD	VERIFY - NO BEAT MATCH	COUNTY LINE FD | PALMERDALE FD | KIMBERLY FD | WARRIOR FD
	FAIRFIELD		FAIRFIELD FD	FAIRFIELD_FD	VERIFY - NO BEAT MATCH	BIRMINGHAM FD | MINOR FD | MIDFIELD FD | ADAMSVILLE FD
	FAIRFIELD	2035	FAIRFIELD FD	FAIRFIELD_FD	VERIFY - NO BEAT MATCH	MIDFIELD FD | BIRMINGHAM FD | BRIGHTON FD | PLEASANT GROVE FD
	FAIRFIELD	35064	FAIRFIELD FD	FAIRFIELD_FD	VERIFY - NO BEAT MATCH	BIRMINGHAM FD | MIDFIELD FD | BRIGHTON FD | PLEASANT GROVE FD
	FAIRFIELD	35215	FAIRFIELD FD	FAIRFIELD_FD	VERIFY - NO BEAT MATCH	BIRMINGHAM FD | MINOR FD | MIDFIELD FD | PLEASANT GROVE FD
	FULTONDALE		VERIFY: FULT ST | FULTONDALE FD/NORTH SMITHFIELD FD (AUTOMATIC AID) | FULTONDALE FD/TARRANT FD (AUTOMATIC AID)	VERIFY: AUTO FULT/TARRANT | FULTONDALE N SMITH | FULT_ST1 | FULT_ST2	VERIFY - NO BEAT MATCH	CENTER POINT FD | GARDENDALE FD | BIRMINGHAM FD | GLENNWOOD FD
	GARDENDALE		GARDENDALE FD	GARDENDALE_FD	VERIFY - NO BEAT MATCH	FULTONDALE FD | MT. OLIVE FD | BIRMINGHAM FD | FORESTDALE FD
	GRAYSVILLE		GRAYSVILLE FD	VERIFY: GRAYSVILLE FD | GRAYSVILLE/BAGLEY AA	VERIFY - NO BEAT MATCH	ADAMSVILLE FD | SHADY GROVE FD | WEST JEFFERSON FD | MAYTOWN FD
	GRAYSVILLE	35073	GRAYSVILLE FD	GRAYSVILLE FD	VERIFY - NO BEAT MATCH	ADAMSVILLE FD | WEST JEFFERSON FD | SHADY GROVE FD | BROOKSIDE FD
	HELENA		HELENA FD (SHELBY COUNTY)	HELENA_FD	VERIFY - NO BEAT MATCH	INDIAN FORD FD | HOOVER FD | MCADORY FD | BESSEMER FD
	HOMEWOOD		HOMEWOOD FD	HOMEWOOD_FD	VERIFY - NO BEAT MATCH	BIRMINGHAM FD | MOUNTAIN BROOK FD | ROCKY RIDGE FD | VESTAVIA HILLS FD
	HOOVER		HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	VESTAVIA HILLS FD | ROCKY RIDGE FD | HOMEWOOD FD | BIRMINGHAM FD
	HOOVER	35215	VERIFY: HOOVER FD | ROCKY RIDGE FD (STATION 1)	VERIFY: HOOVER_FD | RRST1_D | RRST1_I	VERIFY - NO BEAT MATCH	VESTAVIA HILLS FD | BESSEMER FD | NORTH SHELBY FD | BIRMINGHAM FD
	HOOVER	35244	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	BESSEMER FD | INDIAN FORD FD | HELENA FD | ROCKY RIDGE FD
	HOOVER	352441013	HOOVER FD	HOOVER_FD	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | BESSEMER FD | HELENA FD | VESTAVIA HILLS FD
