437 PINEWAY DR	HOOVER	35226	PINEDALE WAY / SULPHUR SPRINGS RD	HOOVER FD	HOOVER_FD	487	1. ROCKY RIDGE FD | 2. BESSEMER FD | 3. HELENA FD
437 PLAZA DR	IRONDALE	35235	DEL RIO DR / NAVARO LN	CENTER POINT FD | IRONDALE FD	BIRMINGHAM_FD | IRONDALE_FD	447	NONE WITHIN 3 MILES - VERIFY
437 POPLAR ST	WARRIOR	35180	RAYS AVE / MANN DR	WARRIOR FD	WARRIOR_FD	437	1. KIMBERLY FD | 2. CANE CREEK FD
437 RIDGEWOOD AVE	FAIRFIELD	35064	CHEROKEE DR / SEMINOLE CIR	FAIRFIELD FD	FAIRFIELD_FD	491	1. MIDFIELD FD | 2. BIRMINGHAM FD
437 RIVERHAVEN CIR	HOOVER	35244	VERIFY - CROSS STREETS UNAVAILABLE	HOOVER FD	HOOVER_FD	467	1. ROCKY RIDGE FD | 2. NORTH SHELBY FD
437 ROEBUCK DR	BIRMINGHAM	35215	PUBLIC ALY / SHELTON ST	BIRMINGHAM FD	2702	441	NONE WITHIN 3 MILES - VERIFY
437 ROLAND AVE	BESSEMER	35020	NORWOOD AVE & PUBLIC ALY / WELLINGTON ST	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. BIRMINGHAM FD | 3. HUEYTOWN FD | 4. BRIGHTON FD | 5. MCADORY FD | 6. LIPSCOMB FD
437 ROOSEVELT AVE	BIRMINGHAM	35020	SPRING ST / BOOKER AVE	BIRMINGHAM FD	1101	VERIFY - NO BEAT MATCH	1. LIPSCOMB FD | 2. MIDFIELD FD | 3. BRIGHTON FD | 4. BESSEMER FD
437 SHADES CREST RD	HOOVER	35226	ROCKLAND DR / CHAPEL RD	HOOVER FD	HOOVER_FD	487	1. BIRMINGHAM FD | 2. BESSEMER FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD
437 SHENANDOAH DR	HOOVER	35226	HAWKSBURY LN / WOODCREEK DR	HOOVER FD	HOOVER_FD	487	1. BIRMINGHAM FD | 2. ROCKY RIDGE FD | 3. HOMEWOOD FD | 4. BESSEMER FD
437 SPRADLING RD	KIMBERLY	35071	SARDIS RD / BAILEY LOOP RD		AA  MT_O 2 KIMBERLY	421	1. MOUNT OLIVE FD | 2. KIMBERLY FD | 3. GARDENDALE FD
437 SPRINGS AVE	BIRMINGHAM	35242	VERIFY - CROSS STREETS UNAVAILABLE	ROCKY RIDGE FD/BIRMINGHAM FD (AUTOMATIC AID)	MUTUAL_RESP_RRFD_BFD	VERIFY - NO BEAT MATCH	1. REX LAKE FD | 2. HOOVER FD | 3. MOUNTAIN BROOK FD
437 STAGE COACH BLVD	KIMBERLY		VERIFY - CROSS STREETS UNAVAILABLE	KIMBERLY FD	KFD_1	437	1. MORRIS FD | 2. PALMERDALE FD
437 SUNBELT DR	BIRMINGHAM	35022	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	0402	490	1. HOOVER FD | 2. LIPSCOMB FD | 3. BESSEMER FD
437 SUNHILL RD	CENTER POINT	35215	4TH WAY NW / 4TH PL NW	CENTER POINT FD	CPFD_1	441	1. BIRMINGHAM FD
437 SUNSET DR	VESTAVIA HILLS	35216	BILTMORE AVE / SOUTHWOOD RD	VESTAVIA FD	VESTAVIA_FD	467	1. ROCKY RIDGE FD | 2. HOMEWOOD FD | 3. MOUNTAIN BROOK FD | 4. BIRMINGHAM FD | 5. HOOVER FD
