3339 COUNTRY CLUB RD	MOUNTIAN BROOK	35213	ROCKDELL LN / ROCKLEDGE RD	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. BIRMINGHAM FD | 2. MOUNTAIN BROOK FD | 3. HOMEWOOD FD | 4. ROCKY RIDGE FD | 5. IRONDALE FD
3339 EAST BRIARCLIFF RD	MOUNTIAN BROOK	35223	VERIFY - CROSS STREETS UNAVAILABLE	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. MOUNTAIN BROOK FD | 2. BIRMINGHAM FD | 3. ROCKY RIDGE FD | 4. IRONDALE FD | 5. HOMEWOOD FD
3339 ELLIS AVE SW	BIRMINGHAM	35221	BALSAM AVE SW / BIRCH AVE SW	BIRMINGHAM FD	2501	469	1. MIDFIELD FD
3339 HILLTOP RD SE	BESSEMER	35022	DAISY CIR & HILLTOP RD / GARRETT DR SE & HILLTOP RD & SHORE DR	BESSEMER FD	BESSEMER_FD	VERIFY - NO BEAT MATCH	1. HOOVER FD | 2. INDIAN FORD FD | 3. MCADORY FD | 4. BIRMINGHAM FD | 5. EASTERN VALLEY FD | 6. LIPSCOMB FD | 7. MCCALLA FD | 8. BRIGHTON FD | 9. HUEYTOWN FD
3339 HUNTSVILLE RD	BIRMINGHAM	35207	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	1302	VERIFY - NO BEAT MATCH	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
3339 LOGGINS CIR	UNINCORPORATED	35126	VERIFY - CROSS STREETS UNAVAILABLE	PALMERDALE FD (STATION 2)	PFD_2	437	1. KIMBERLY FD | 2. GLENNWOOD FD
3339 LOWERY PKWY	FULTONDALE	35068	MAIN ST / CENTRAL AVE & DECATUR HWY	FULT ST	FULT_ST1	417	1. FULTONDALE FD | 2. BIRMINGHAM FD | 3. TARRANT FD | 4. GARDENDALE FD | 5. GLENNWOOD FD
3339 MORGAN RD	UNINCORPORATED	35022	YANCY DR / RICE CREEK LN	INDIAN FORD FD (SHELBY COUNTY)	INDIAN_FORD_FD	487	1. HOOVER FD | 2. BESSEMER FD | 3. HELENA FD | 4. MCADORY FD
3339 NORTH WOODRIDGE RD	MOUNTIAN BROOK	35223	VERIFY - CROSS STREETS UNAVAILABLE	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. MOUNTAIN BROOK FD | 2. BIRMINGHAM FD | 3. ROCKY RIDGE FD | 4. IRONDALE FD | 5. HOMEWOOD FD
3339 SANDHURST CIR	MOUNTIAN BROOK	35223	SANDHURST RD	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	1. MOUNTAIN BROOK FD | 2. BIRMINGHAM FD | 3. ROCKY RIDGE FD | 4. IRONDALE FD | 5. HOMEWOOD FD
3339 SHORT AVENUE D	BESSEMER	35020	2ND ST & PUBLIC ALY / 1ST PL	BESSEMER FD	BESSEMER_FD	490	1. LIPSCOMB FD | 2. BIRMINGHAM FD | 3. BRIGHTON FD | 4. HOOVER FD | 5. HUEYTOWN FD | 6. EASTERN VALLEY FD | 7. MCADORY FD | 8. INDIAN FORD FD | 9. MCCALLA FD
