3001 BRAKEFIELD DR	FULTONDALE	35068	FULT ST	FULT_ST2	421	FULTONDALE FD | GARDENDALE FD | BIRMINGHAM FD | CENTER POINT FD
3001 BRIARCLIFF RD	HUEYTOWN	35023	HUEYTOWN FD	HUEYTOWN_FD	465|489	BESSEMER FD | CONCORD FD | BRIGHTON FD | PLEASANT GROVE FD
3001 BRIARCLIFF RD	MOUNTIAN BROOK	35223	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465|489	ROCKY RIDGE FD | VESTAVIA HILLS FD | HOMEWOOD FD | BIRMINGHAM FD
3001 BRISCOE ST	FULTONDALE	35068	FULT ST	FULT_ST2	417	FULTONDALE FD | BIRMINGHAM FD | GARDENDALE FD | NORTH SMITHFIELD FD
3001 BROOKSIDE RD	BOOKSIDE	35117	BOOKSIDE FD	BROOKSIDE_FD_1	422	BROOKSIDE FD | FORESTDALE FD | MT. OLIVE FD | CARDIFF FD
3001 BURKWOOD RD	FULTONDALE	35068	FULT ST	FULT_ST2	417	FULTONDALE FD | BIRMINGHAM FD | GARDENDALE FD | NORTH SMITHFIELD FD
3001 CANTERBURY RD S	MOUNTIAN BROOK	35223	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	BIRMINGHAM FD | HOMEWOOD FD | ROCKY RIDGE FD | VESTAVIA HILLS FD
3001 CAROLINA AVE	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	490	BIRMINGHAM FD | LIPSCOMB FD | BRIGHTON FD | HUEYTOWN FD
3001 CENTER ST	BIRMINGHAM	35210	BIRMINGHAM FD	3102	447	IRONDALE FD | TRUSSVILLE FD | REX LAKE FD | LEEDS FD
3001 CHACE LAKE DR	HOOVER	35244	HOOVER FD	HOOVER_FD	469	ROCKY RIDGE FD | NORTH SHELBY FD | VESTAVIA HILLS FD | BESSEMER FD
3001 CHASE LN	BIRMINGHAM	35215	BIRMINGHAM FD	2803	VERIFY - NO BEAT MATCH	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 CHERRY AVE	UNINCORPORATED	35214	FORESTDALE FD	FORESTDALE_FD	418	BROOKSIDE FD | ADAMSVILLE FD | BIRMINGHAM FD | GRAYSVILLE FD
3001 CLARENDON AVE	BESSEMER	35020	BESSEMER FD	BESSEMER_FD	490	BIRMINGHAM FD | LIPSCOMB FD | BRIGHTON FD | HUEYTOWN FD
3001 COALBURG RD	BIRMINGHAM	35068	BIRMINGHAM FD	1304	417	FULTONDALE FD | FORESTDALE FD | NORTH SMITHFIELD FD | BROOKSIDE FD
3001 COLONY PARK DR	UNINCORPORATED	35243		E102_R111	467	VESTAVIA HILLS FD | ROCKY RIDGE FD | BIRMINGHAM FD | MOUNTAIN BROOK FD
3001 COLONY WOODS DR	UNINCORPORATED	35243		E102_R111	VERIFY - NO BEAT MATCH	VESTAVIA HILLS FD | ROCKY RIDGE FD | BIRMINGHAM FD | MOUNTAIN BROOK FD
3001 CORA AVE	UNINCORPORATED	35224	MINOR FD	MINOR_FD_1	498	BIRMINGHAM FD | ADAMSVILLE FD | FORESTDALE FD | MULGA FD
3001 CRUCE LN	UNINCORPORATED	35005	FORESTDALE FD	FORESTDALE_FD	416	ADAMSVILLE FD | MINOR FD | GRAYSVILLE FD | BROOKSIDE FD
3001 DAVE CLIFF DR	FULTONDALE	35068	FULT ST	FULT_ST1	421	FULTONDALE FD | GARDENDALE FD | CENTER POINT FD | TARRANT FD
3001 DAVEY ALLISON BLVD	UNINCORPORATED	35023	NO FIRE COVERAGE	COUNTY NO FD	VERIFY - NO BEAT MATCH	BESSEMER FD | HUEYTOWN FD | BRIGHTON FD | MIDFIELD FD
